area,Source,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
LAO,FAOSTAT_194,total_pesticides_use,21,21,21,46,35.59,25.19,14.79,4.38,0.66,0.97,1.28,1.79,2.3,2.81,3.31,3.82,4.33,0.44,0.07,25.67,1.83,43.8,43.53,125.89,3,189.35,175.41,145.1,187.31,187.31,187.31,187.31
LBN,FAOSTAT_195,total_fertilizers,25400,29700,34000,36200,28000,44000,56000,62242,63700,63700,52257,58577,34242.03,41871.56,48697.01,40885.32,31038.04,38817.73,35771.75,36364.6,41613.04,42985.55,40010.86,36795.03,36648.7,34226.86,37447,39508.49,36261.76,31975.77,27459.27,20383.03
LBN,FAOSTAT_196,total_pesticides_use,1221,1221,1221,1221,1221,1221,1221,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816
LBR,FAOSTAT_197,total_fertilizers,300,,,,,,,,,,,,3117.1,3470.9,,,4674,,3364.2,3679,5959.8,,5729.7,5978.2,6042.1,6083,8029,10423,9996,10871,12110,2784.61
LBR,FAOSTAT_198,total_pesticides_use,140.55,139.81,138.33,136.84,135.36,129.13,122.63,110.31,96.9,78.68,67.92,63.19,63.7,84.04,112.58,175.28,297.78,382.15,424.91,422.23,493.5,578.61,658.95,732.24,793.93,648.86,662.36,686.66,897,937.34,997.68,1035.56
LBY,FAOSTAT_199,total_fertilizers,77600,84800,86100,110900,74500,89000,62400,61700,50500,86500,55000,73200,65334.9,35477.99,50447.4,52465.53,55061.22,53276.21,51485.73,58605.18,66161.9,80938.45,82515,62277.86,39417.33,26957.48,26902.23,44808.83,28234.96,31149.14,31791.01,25325.02
LBY,FAOSTAT_200,total_pesticides_use,2612.16,2486.16,2234.11,2181.74,2129.33,2076.92,2024.51,1555.56,1107.31,681.57,693.32,864.83,1194.28,2388.58,3125.75,3405.81,2523.39,1987.59,2089.98,2264.6,2312.48,1942.03,1719.23,1496.43,1273.63,1050.82,842.59,754.82,1052.6,1410.08,1721.37,1721.37
LCA,FAOSTAT_201,total_fertilizers,5721,6500,2882.47,1866.35,634.55,199.73,225.77,85.36,1242.65,2219.12,2122.87,40.57,499.63,1359.6,493.65,622.97,520.93,115.55,18,264,358,252,785.53,336.65,721.2,702.54,512.68,393.82,471.26,640.21,528.14,533.37
LCA,FAOSTAT_202,total_pesticides_use,671.21,625.72,557.6,492.06,436.47,398.35,354.88,333.35,289.04,295.15,261.51,230.22,248.89,295.11,325.31,280.99,211.35,173.02,174.25,204.15,214.75,217.63,212.17,209.65,236.14,264.47,257.32,227.23,203.99,221.08,242.44,253.26
LKA,FAOSTAT_203,total_fertilizers,171143,177194,183657,210503,217503,206043,211170,208713,232924,259081,246965,244068,285071,246225,258309,280821,305881,288525,374054,309514,274857,334509,267611.82,226181.39,339708.97,247123.57,165404.32,154983.06,189687.24,260652.28,410165.35,211203.25
LKA,FAOSTAT_204,total_pesticides_use,1571.33,1409.15,2144.31,1753.2,1860.7,1735.5,1654.41,1622.4,1532.41,1766.91,1695.71,1705.05,1714.39,1723.73,1733.07,1742.41,1751.75,1439.8,1152.39,1170.36,1450.54,1290.31,1112.8,1235.31,933.34,2539.92,1925,1266,2261,1526.43,2573.15,2777.7
LSO,FAOSTAT_205,total_fertilizers,4600,5900,5700,6000,5300,5904,6082,5606,6000,5039,7994,11341,,,,,,,,,,,,,,1591.41,1963.52,3397.4,6774.08,3355.1,3721.21,3554.99
LSO,FAOSTAT_206,total_pesticides_use,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,7.07,10.27,19.83,22.89,44.8,50.27,59.68,47.71,44.86,42.02,39.55,35.73,28.45,25.63,25.73,26.1,20.72,87.03,95.06,140.57,91.65,166.04,265.7,357.02
LTU,FAOSTAT_207,total_fertilizers,,,156000,87000,79000,118000,119000,137300,139800,154000,153000,162000,189000,190000,193000,195000,217000,219000,169300,210400,221200,229000,242000,251121,262640,266236,282534,296851,282388,303215,314924,318341
LTU,FAOSTAT_208,total_pesticides_use,,,1380,936,713,737,979,928,812,695,688.06,726.09,792.6,847.2,1023.6,1048.5,1197,2722.82,2722.55,2748.8,1803.77,2062.34,2559.9,2515.69,2545.5,2737.7,3337,2994,2050,2317.72,2560,2590.5
LUX,FAOSTAT_209,total_fertilizers,,,,,,,,,,,,,16583,16583,20684,18789,17618,16861,15532,15108,15995,16810,16173,15462,15074,15240,16214,15647.15,13489.4,13990.98,13589.51,14180.88
LUX,FAOSTAT_210,total_pesticides_use,,,,,,,,,,,154.25,154.25,154.25,154.25,154.25,154.25,154.25,154.25,154.25,154.25,154.25,154.25,203.17,157,143.68,137.6,159.93,139.5,139.61,133.04,138.93,122.71
LVA,FAOSTAT_211,total_fertilizers,,,168000,95300,95300,22000,25000,35100,49200,54477,50289,56665,44441,58831.41,60519,74300,75500,80457,78328,75784,91081,96383,107864,121593,122259,128833,134200,133495,130993,139247,151311,152292
LVA,FAOSTAT_212,total_pesticides_use,,,1005,476,294,358,361,334,369,326.86,284.72,367.4,335.31,477.63,594.46,723.54,743.57,1113.49,1033,881.2,1027.5,1074.01,1281.04,1250.5,1417.41,1510.15,1724.62,1478.43,1586.99,1650.67,1900.41,1984.43
MAR,FAOSTAT_213,total_fertilizers,350000,288700,290930,334400,295100,282200,290000,327327,325000,364533,367416,360200,550787,500843,401942,518080,485200,474460,433412,330149,441892,461361,458620,516874,542343,528496.85,320546.05,508539.2,497538.59,413481.83,430921.42,415356.54
MAR,FAOSTAT_214,total_pesticides_use,9364,9771.14,10178.29,10585.43,10992.57,11399.71,11806.86,12214,12621.14,13028.29,13435.43,13842.57,14249.71,14656.86,15064,13966,13697,13697,13697,13697,13697,13697,13697,13697,13697,13697,13697,13697,13697,13697,13697,13697
MDA,FAOSTAT_215,total_fertilizers,,,134800,115000,115000,115000,116000,10200,7000,3200,5100,32471,15000,13900,15300,16500,15398,20083,22677,17015,20051,23629,34700,44800,44813,52340.7,72855.65,84476.87,99928.6,86500.21,82867.1,86494.26
MDA,FAOSTAT_216,total_pesticides_use,,,2897,2501,2553.55,2606.11,2658.66,2711.21,2763.76,2816.32,2868.87,2876.28,2606.44,2715.73,2915.4,2394.93,2466.37,2556.03,2924.63,2308.27,2466.13,2453.95,2316.22,2409.25,2500.4,2739,2981,3116,3349.45,3374.7,3354.9,3354.9
MDG,FAOSTAT_217,total_fertilizers,10855,9472,7697,11083,11266,12546,16669,9500,8677,7874,9111,9051,6204.84,6960.88,6677.39,16702.12,7579.35,9632.87,12820.52,7815.67,8931.86,12611.02,21115.02,14399.75,26203.43,22593.07,17966.77,38985.56,37802.72,35836.26,31741.08,10018.02
MDG,FAOSTAT_218,total_pesticides_use,128.41,131,101.06,109.41,76.15,73.08,152.01,139.89,88.26,49.52,130.46,87.59,240.84,146.76,68.01,114.51,109.39,93.88,112.11,143.9,241.89,310.36,377.71,507.94,453.91,401.39,493.54,642.78,705.85,746.05,765.83,701.11
MDV,FAOSTAT_219,total_fertilizers,,,,,,,,,,,,,18,24,31,89,353,262,67,394,368,143,525.72,754.74,235.51,238.6,367.32,441.66,448.4,279.74,354.53,429.33
MDV,FAOSTAT_220,total_pesticides_use,38.04,38.04,38.04,38.04,38.04,38.55,41.15,93.85,98.32,125.08,74.42,76.96,54.81,59.72,60.48,114.44,127.41,124.9,69.28,62.78,75.26,84.32,83.82,94.34,110.82,127.84,571.9,628.16,755.34,395.32,376.47,309.98
MEX,FAOSTAT_221,total_fertilizers,1798400,1619400,1616000,1591900,1647900,1286000,1636400,1644100,1804300,1776000,1832000,1865378,1591950.2,1588545.2,1558544,1787302,1612814,1671883,1318799,1585469,1658153,1917412.31,1912483.57,2072432.48,2004834.22,1793014.46,2186326.67,2139573.61,2102562.33,2107255.74,2071986.56,2194245.49
MEX,FAOSTAT_222,total_pesticides_use,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,26624.98,23371.7,11535.83,16285.16,18507.68,39171.9,38402.66,50894.34,50154.53,50327.9,52305.13,53219.63,49213.67,47551.15,43028.74,48292.99,47421.33,50801.94,53144.44,48989.2,41681.11,43578.14
MKD,FAOSTAT_223,total_fertilizers,,,,7600,58923,37227,43400,46700,39200,43500,39900,22300,18869,18921,24655,27786,25228,28930,23811,23813,27784,26338,23844.1,28747.34,29748.78,27425.66,32994.99,28767.68,25434.25,25666.3,34450.83,21054.29
MKD,FAOSTAT_224,total_pesticides_use,,,970,659,540,573,556,507,529,412.5,296,175,240,210,262,149,327,119,85,98,98,98,98,98,98,98,98,98,98,98,98,98
MLI,FAOSTAT_225,total_fertilizers,15200,15000,27300,25000,25000,27000,27300,47800,45900,49800,39847,42000,90232.54,76430.44,81736.79,83623.79,101276.21,78561.57,104892.2,110385.06,115877.91,61951.05,59184.15,93530.48,134901.43,176272.38,217643.32,158687.02,158687.02,238725.14,238725.14,238725.14
MLI,FAOSTAT_226,total_pesticides_use,253.71,147.69,98.09,92.33,86.58,80.82,75.07,69.31,63.56,57.8,52.05,46.29,40.54,34.78,29.03,23.27,17.34,12.31,19.05,8.44,8.09,6.83,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
MLT,FAOSTAT_227,total_fertilizers,544.14,466.14,513.74,492.74,492.74,878.02,586.05,593.22,1499,713,1054.71,1024.48,990.66,890.98,1053.97,878.89,939.24,906.79,660.2,458.96,720.92,844.79,697.85,731.71,734.42,827.39,844.81,847.08,810.08,884.44,1151.63,1159.54
MLT,FAOSTAT_228,total_pesticides_use,326.48,326.48,326.48,326.48,447.26,210.34,154,258.38,260.8,138.79,181.92,111.77,113.25,114.73,116.21,117.69,119.17,120.65,117.16,113.68,110.19,106.7,137.87,134.93,110.13,128.72,94.65,107.59,90.05,75.6,95.82,70.76
MMR,FAOSTAT_229,total_fertilizers,75532,83059,67152,86301,144750,180047,173893,177824,171805,163075,205700,95700,42309,101554,197364,65596,93192,166830,81378,67316,71755,161738,168096.62,210391.96,263270.98,145635.43,205201.03,428471.47,546794.33,698716.41,744260.36,424879.81
MMR,FAOSTAT_230,total_pesticides_use,209.08,114,151.18,160.33,190,264.76,137.24,145.54,282.88,420.21,557.55,694.89,949.06,858.94,1042.39,1448.85,3872.16,3329.67,1438.56,1091.08,3340.09,4642.42,3044.78,2898.2,5417.8,7690.63,12092,17274,15326,17337.49,11748.89,11748.89
MNE,FAOSTAT_231,total_fertilizers,,,,,,,,,,,,,,,,,3254,2720,2559,1960,2469,2171,2148.43,2534.24,2417.48,2280.8,2566.87,2149.52,2270.53,2635.42,2792.49,2776.48
MNE,FAOSTAT_232,total_pesticides_use,,,,,,,,,,,,,,,,,0.66,0.66,0.66,0.66,66.11,75.11,71.11,82.11,90.11,76.11,90.11,98.78,92.4,102.06,118.58,110.69
MNG,FAOSTAT_233,total_fertilizers,14600,16000,15100,1000,500,2000,2000,6000,4200,2800,3400,3200,4448,4017,5873,3657,6514,6018,6941,7570,11080,13965,16940.82,25379.57,19259.83,23195,25822.65,36736.79,42165.48,46818.28,44522.6,41660.36
MNG,FAOSTAT_234,total_pesticides_use,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7,115.7
MOZ,FAOSTAT_235,total_fertilizers,2600,5100,4900,3200,6300,7800,8100,6500,8000,8000,14300,24900,26600,3313,10395,7137,22751,13836,61653,22184,46327,41561,31750.3,33397.18,42567.58,25753.39,25807.26,29033.43,37918.25,61000.35,63357.31,69251.23
MOZ,FAOSTAT_236,total_pesticides_use,102.26,102.26,102.26,102.26,102.26,72.19,65.85,60.63,54.23,47.83,41.43,35.03,28.62,267.26,573.26,771.19,892.81,548.96,890.51,914.98,1189.02,768.85,729.84,690.83,651.82,612.8,573.79,534.78,534.78,534.78,534.78,534.78
MRT,FAOSTAT_237,total_fertilizers,3900,5150,7283,4608,4000,4000,5000,1722,1800,2400,,2900,2105.32,2344.28,2211.18,2392.02,3123.6,1956.36,2194.74,2269.66,4162.83,2363.25,3316.77,3460.62,3497.61,3571.59,4714.17,6119.79,5869.08,6382.83,7110.3,7110.2
MRT,FAOSTAT_238,total_pesticides_use,71.24,71.24,61.32,45.82,24.75,17.03,15.59,20.4,22.46,24.52,26.58,24.52,24.32,50.24,56,54.45,33.47,39.34,46.2,46.57,61.65,76.33,161.9,236.3,290.73,288.31,293.91,333.76,381.08,393.89,376.88,347.31
MUS,FAOSTAT_239,total_fertilizers,27733,27575,26638,26005,29208,31891,37727,33456,33101,35300,37500,28550,28335,26352,26769,29933,21403,22860,18302,18237,13056,18972,20888.25,18611.12,23496.79,13787.71,20494.35,19321.01,14033.52,14615.39,11285.09,13987.82
MUS,FAOSTAT_240,total_pesticides_use,889,817.3,745.6,673.89,602.19,663.88,625.89,710.24,640.78,616.9,643.67,723.23,770.35,858.67,815.02,844.85,897.02,778.98,875.11,894.07,916.52,887.38,810.11,857.41,843.62,907.29,917.04,530.02,771.49,754.73,708.55,705.3
MWI,FAOSTAT_241,total_fertilizers,48000,70000,73800,74000,21283,43519,58200,56800,50200,50100,49791,27482,84684,93232,103218,97574,121521,125156,120303,107960,130893,106282,92390.13,103719.58,143193.76,153548.87,88230.48,128054.41,131193.99,117300.35,386083.07,386943.53
MWI,FAOSTAT_242,total_pesticides_use,171.8,171.8,171.8,171.8,171.8,171.8,171.8,171.8,136.11,125.39,210.45,169.9,129.36,88.82,48.28,295.51,202.35,524.46,624.52,736.25,584.12,553.57,775.83,1500.27,2358.01,2358.01,2358.01,2358.01,2358.01,2358.01,2358.01,2358.01
MYS,FAOSTAT_243,total_fertilizers,909500,941000,964900,1031000,1157300,1092000,1131000,1252000,1406000,1323800,1188275,1130717,1144984.14,1169391.99,1706663.98,1574357.92,1791932.86,1902081.6,1837074.61,1100176.38,1851054.58,1890163.1,1664584.29,1594054.16,1842417.25,1564923.2,1647138.61,1659960.21,1612428.01,1112100.99,1313216.77,1772805.63
MYS,FAOSTAT_244,total_pesticides_use,23816.74,23886.07,24699.62,26700.14,26774.57,27590.04,28061.38,28599.61,27142.08,29259.16,30204.09,30977.4,31619.42,34045.56,36015.89,37577.97,39406.48,46868.35,54821.91,52464.19,60194.83,41562.16,49810.48,61445.6,49199.43,63307.64,67288,50683,44114,47805,36076.9,45671
NAM,FAOSTAT_245,total_fertilizers,,,,,,,,,100,300,300,300,3185,1150,2612,1556,2314,1972,229,1272,3547,5284,12027.17,8688.97,4910.93,10988.15,20885.37,20029.49,32009.62,20404.15,2980.92,2980.92
NAM,FAOSTAT_246,total_pesticides_use,573.54,573.54,573.54,573.54,573.54,573.54,573.54,573.54,573.54,573.54,1322.16,1346.48,1258.85,398.58,284.18,354.69,405.22,475.21,577.63,598.35,656.75,576.76,617.66,777.85,823.84,931.12,804.17,861.24,836.42,878.1,913.27,958.69
NER,FAOSTAT_247,total_fertilizers,2299,530,1400,1500,6115,9979,9000,700,500,4188,4524,4982,8541,4126,3385,5475,7459,5297,2289,5267,7490,7576,14680.39,10704.13,16787.29,6824.01,6755.12,6755.12,12297.42,16805.47,10380.49,10380.49
NER,FAOSTAT_248,total_pesticides_use,62,62,62,62,62,62,22,34,36,26,62,31,29.44,27.88,26.31,24.75,21.12,30.57,12.04,7.32,11.49,10.59,21.37,27.94,34.51,41.09,47.66,32.76,17.86,22.13,19.69,34.79
NGA,FAOSTAT_249,total_fertilizers,400380,429200,440000,461000,296000,183000,173500,137700,163200,167700,187500,221000,153982,214935,159079,259104,369431,155587,211566,168353,403051,223084,303404.4,306617.88,323063.69,287543.32,387843.9,733900,686200,686200,686200,686200
NGA,FAOSTAT_250,total_pesticides_use,3445.22,2508.1,1717.5,948.79,1139.08,2160.97,4196.13,9991.77,9588.02,8071.43,3879.78,4716.87,7238.52,9498.88,12797.75,15335.75,13557.33,9729.19,11510.93,18095.71,26872.77,31079.27,33968.12,40668.25,36120.96,31255.23,26751.43,36466.57,47121.31,53953.79,57268.92,59278.17
NIC,FAOSTAT_251,total_fertilizers,40010,34432,31300,27000,21800,31000,40680,35673,38600,35942,28900,19314,56817,65386,64302,56227,60687,56646,46084,57241,53181,77514,76914,51767,76617,86957.45,89003.12,128467.1,87592.44,87148.79,115824.79,103266.6
NIC,FAOSTAT_252,total_pesticides_use,575,575,575,977,799,876,2041.7,3207.4,4373.1,4097.16,3925.63,3603.5,5715.36,5613.57,4581.73,9391.92,6889.26,9850.26,10173.91,9387.95,12242.19,4932.05,4413.82,6705.5,6826.97,7845.9,7682.29,7902.15,6993.7,7808.1,15658.35,13709.8
NIU,FAOSTAT_253,total_fertilizers,,,,,,,,,,,,,40.25,36.52,41.35,34.99,36.71,39.96,55.2,45.6,46.08,38.44,30.52,29.76,23.32,31.92,29.76,37.8,32.48,42.08,37.64,37.64
NIU,FAOSTAT_254,total_pesticides_use,0.35,0.37,0.28,0.3,0.77,1.56,2.11,2.14,1.82,2.52,3.29,4.53,3.39,4.78,4.79,5.98,4.2,3.49,7.63,6.72,6.46,0.94,0.85,0.01,1.09,1.09,1.95,1.74,2.44,2.36,2.33,2.45
NLD,FAOSTAT_255,total_fertilizers,560600,560759,545555,519064,534000,535000,527024,508000,485000,471000,418000,416000,392802,397092,402871,375303,377796,320207,285538,251199,299955,248292,293000,240003,259006.66,278010.34,299853,301309,280029,276841,277950,275177
NLD,FAOSTAT_256,total_pesticides_use,9729,9338,9030,10505,8646,12601,8923,10568,11762,11152,11382.84,9424.73,9700.44,9550.04,10655.4,10703.85,10461.35,12073.15,10777.08,9857.2,9586.03,12365.82,12763.71,12137.2,12070.16,11409.3,12216.17,12001.46,10854.6,10685.6,11291.6,11291.6
NOR,FAOSTAT_257,total_fertilizers,209590,207866,205724,205800,207000,210000,209000,205000,201000,198000,193000,176275,180499,185965,187035,188662,185687,187928,180477,149548,140355,157186,152086,154140,157218,164893,164576,159965,163710,168638,167666,167666
NOR,FAOSTAT_258,total_pesticides_use,1183,760,767.9,749,848,913.14,698.25,735.43,934.02,802.02,348.24,512.66,799.19,668.51,827.45,518.94,696.34,722.07,800.9,534.56,698.98,823.96,813.93,761.97,861.21,631.03,676,671,614,604,688,710
NPL,FAOSTAT_259,total_fertilizers,72512,81100,82003,73536,93000,93699,103000,107500,121500,94400,73014,72526,38950,11711,18458,8137,12751,3604,3030,40046,54689,77446,56540,115097,142400.7,156655.06,157853.58,138475.4,183647,184473.76,215549.72,206801.28
NPL,FAOSTAT_260,total_pesticides_use,60.11,60.11,60.11,60.11,60.11,60.11,70.43,80.75,91.07,101.39,111.72,122.04,132.36,142.68,153,127.99,128.73,344.06,353.43,209.52,332.01,342.92,410.32,454.53,549.17,573.97,632.75,691.53,750.31,809.09,681.5,783.14
NRU,FAOSTAT_261,total_fertilizers,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.01,0,0,0.45,0,0.03,1.35
NRU,FAOSTAT_262,total_pesticides_use,22.65,17.82,18.58,9.11,7.83,5.27,3.37,2.64,2.59,3.68,4.57,7.91,6.94,5.91,1.6,0.73,0.23,0.45,0.59,0.53,0.34,0.42,0.75,1.8,2.89,3.59,2.61,2.47,3.93,5.75,6.15,5.47
NZL,FAOSTAT_263,total_fertilizers,343100,438500,534500,625631,647000,682600,660000,647700,661500,716000,812730,901065,758119.8,852416.4,892211.8,952984.2,832733.6,837575,779869.2,626391,699368,764004.8,766437,748209.4,844529,853710.6,832301.4,893961.2,920984.2,915802.6,909543.23,890148.35
NZL,FAOSTAT_264,total_pesticides_use,3740,3740,3740,3739,3515,3904,3499,3550.08,3055.16,2535.3,3634.3,3333.2,4369.2,4090.2,4249.2,4257.2,4587.2,5138.2,6056.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2,5285.2
OMN,FAOSTAT_265,total_fertilizers,9479,8147,8000,9000,7600,7800,6707,5430,8154,7324,5756,10404,12034.03,6359.87,14278.55,16737.68,20677.3,16859.89,24260.15,15993.94,18600.76,16249.3,17703.14,18538.08,18648.11,20705.94,25649.82,23055.77,24601.35,37818.46,34168.9,27164.51
OMN,FAOSTAT_266,total_pesticides_use,42.64,32.4,127.2,103.66,80.13,83.2,86.27,285.02,298.48,171.93,45.39,66.44,87.49,108.54,129.6,150.65,171.7,192.75,213.8,234.86,255.91,292.32,339.06,439.4,409.79,333.48,346.76,275.49,204.22,304.82,373.75,442.67
PAK,FAOSTAT_267,total_fertilizers,1892899,1884133,2147915,2146780,2183572,2515124,2412979,2659334,2578052,2833000,2962500,2944450,3052840,3149260,3357710,3725496,3812141,3574021,3510296,4246113,4064776,3868533,3549038,4134858,4104960,4179136,4480006,4758868,4758868,4652323,4798817,4798817
PAK,FAOSTAT_268,total_pesticides_use,5299,5962,5518,4945,6183,7681,11955,16936,18406,20450,27885,23835.07,22838.14,21841.21,20844.28,19847.35,18850.42,17853.5,16856.57,15859.64,14862.71,13865.78,12868.85,11871.92,11871.92,11871.92,11871.92,11871.92,11871.92,11871.92,11871.92,11871.92
PAN,FAOSTAT_269,total_fertilizers,38662,25649,35494,32181,29950,27700,44300,36387,39876,34003,31183,29200,22141,28034,23104,18862,20734,18408,19337,25675,36272,21149,43353.24,50079.13,33330.12,41505.2,25820.4,33156.57,38642.23,36126.79,56252.71,70009.24
PAN,FAOSTAT_270,total_pesticides_use,3308.54,3308.54,3308.54,3308.54,3308.54,3308.54,3308.54,3308.54,2008.07,1553.75,1099.42,2789.13,2141.62,2448.39,2590.5,2677.13,2632.87,2239.8,2142.93,2046.06,1949.19,1852.32,1371.35,2477.29,2458.72,2440.14,2421.57,2403,1639.46,875.91,861.36,861.36
PER,FAOSTAT_271,total_fertilizers,105256,75652,80572,138697,174900,153300,185300,214900,238125,238825,254270,314486,306551,315614,329912,301513,339974,403256,298483,385209,365693,408016,391703.26,398145.49,405622.92,445795.52,447971.15,539478.77,433056.17,507182.09,556819.7,479758.88
PER,FAOSTAT_272,total_pesticides_use,1335.53,1335.53,1335.53,1335.53,1335.53,1335.53,1600.18,1850.33,1912.49,1809.42,2257.17,3001.29,2893.32,2848.57,3128.33,3577.61,4238.13,2928.26,5008.69,4719.14,6225.67,6030.69,7288.63,7091.56,8274.55,8893.46,9482.89,10036.95,8617.57,10635.76,10774.12,11595.91
PHL,FAOSTAT_273,total_fertilizers,587092,447818,505400,565490,600198,598407,736800,809195,628434,743764,734550,781415,687645,829972,879409,783445,740151,842740,572103,667949,802608,789494,660400,871341.47,879550.67,779376.95,948204.79,1188426.81,944716,1092757.69,1169248.44,1297021.23
PHL,FAOSTAT_274,total_pesticides_use,15154.3,15373.92,15508.14,15830.68,16237.54,16758.94,16853.5,16846.95,16959.42,17472.83,17382.68,17509.77,17995.32,18330.63,18010.9,18303.97,18899.04,19403.54,20075.72,19975.79,21311.11,21179.54,21608.02,22374.11,22111.62,23250.65,21632.13,21491.31,21350.49,24878.97,34715.34,37660.36
PLW,FAOSTAT_275,total_fertilizers,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.02,0,0,0,0.28,0.18,8.59
PLW,FAOSTAT_276,total_pesticides_use,,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,6.26,5.49,4.31,4.67,4.81,6.04,9.09,13.3,20.85,27.88,30.22,28.51,24.85,24.85,24.85
PNG,FAOSTAT_277,total_fertilizers,12300,10700,12800,13000,13000,13000,13000,13100,8200,9300,11700,11800,6856,8519,17670,17138,14722,18962,21211,31156,32845,25643,32240.64,29629.6,32601.46,31390.57,33616.09,36981.61,40340.27,39252.08,35946.63,35710.25
PNG,FAOSTAT_278,total_pesticides_use,800.54,784.21,759.21,733.49,711.91,686.83,613.56,492.12,364.83,279.88,235.47,219.6,261.4,311.2,352.2,355.23,371.76,388.28,404.81,421.34,437.87,590.74,738.1,879.96,879.96,879.96,879.96,879.96,879.96,879.96,879.96,879.96
POL,FAOSTAT_279,total_fertilizers,1541400,1008700,1192200,1282147,1428149,1511218,1596083,1700200,1557160,1526500,1615100,1574200,1511700,1622100,1628400,1966100,1970700,2142000,1899400,1771300,1954400,1883800,1943400,1935300,1792200,1895400,2049800,2076600,1905400,1951300,1729000,1729000
POL,FAOSTAT_280,total_pesticides_use,5422,5422,7363,8825,9330,7136,9824,9501,8699,8466,8848,8855,10358,7184,8726,16039,17101,18721,20611.02,18493.03,19449.02,21779.27,21885.99,22204.46,23556.67,24006.12,24463,25076,23178,24281,24168,26534
PRK,FAOSTAT_281,total_fertilizers,832400,811100,782500,766000,323000,104200,93000,171100,157200,253000,256000,281400,123888,103015,160175,144936.1,154887.73,121749.48,117906.38,135247.13,176961.94,212460.34,167387.85,177098.41,144456.27,119193.5,156630.22,150837.1,206554.42,106299.73,43468.9,43305.42
PRT,FAOSTAT_282,total_fertilizers,278400,258000,242000,250000,248000,244000,258000,236000,252000,237000,219000,208000,197000,186000,174000,167000,170194,233558,189729,142395,170939,149303,169540,190802,209786.23,198721.74,184032.98,176949.32,175106.71,183128.43,175919.54,169688.26
PRT,FAOSTAT_283,total_pesticides_use,9357,9357,6117,8985,9580,11815,12457,12750,14389,15411,15470,15503,17452,17030,16942,16353,15702,16682.39,17080.26,13984.91,13774.18,14562.41,12869.13,10526.19,13256.87,10209.42,9772.27,8103.16,8057.31,9865.81,9706.26,9583.2
PRY,FAOSTAT_284,total_fertilizers,17923,20571,21897,20900,22900,23000,33000,59000,71832,65446,65200,66800,153168,217265,264282,227540,258160,343292,280663,252170,340284,420330,367225.33,435359.34,505248.8,467879.98,529677.93,543456.16,568348.1,537620.14,584260.42,662348.36
PRY,FAOSTAT_285,total_pesticides_use,3380,3380,3380,5806.8,8233.6,10660.4,13087.2,15514,12196,5064,3507,10583,11752.99,12922.99,14092.98,15262.98,16432.97,17602.97,18772.96,19942.96,21112.95,22282.95,23452.94,24667.05,18070.43,18908.25,18567,19662,21121.64,22581.28,20164.28,24925.32
PSE,FAOSTAT_286,total_fertilizers,,,,,,,,,,,,,15655.2,14408.8,14834.12,14850.55,15297.1,14558.4,12572.56,11278.13,6556.36,7240.14,8788.9,10351.78,10294.21,10454.5,13569.22,13879.28,12324.99,13772.84,15715.44,15585.5
PSE,FAOSTAT_287,total_pesticides_use,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1263.43,1238.78,1237.54,1243.3,1290.78,1265.82,1348.14,1348.14,1348.14,1348.14,1348.14,1348.14,1348.14,1348.14,1348.14,1348.14,1348.14,1348.14,1348.14,1348.14
QAT,FAOSTAT_288,total_fertilizers,1380,1500,1500,2000,6000,6000,1172,1165,1000,800,500,900,1511,1000,1000,1000,1000,1000,4600,1120,4600,2200,2200,4500,4400,2300,3700,3600,4883.11,4622.76,5103.15,5045.06
QAT,FAOSTAT_289,total_pesticides_use,253.25,270.3,325.25,322.19,336.09,340.69,397.17,453.8,470.35,445.91,341.65,318.8,360.36,414.99,525.23,832.57,1012.47,998.97,1377.56,2562.93,3175.69,2501.22,1280.18,832.18,860.11,899.23,783.58,872.72,797.59,842.69,945.57,1072.46
ROU,FAOSTAT_290,total_fertilizers,1212500,463000,553000,602000,374100,363400,422000,315000,360000,237000,304279,369417,326123,362260,380004,461392,362884,387216,397985,426207,480588,486944,437972,491831,452239,532702,514126,581470,722685,749551,738453,922487
