Area,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MDV,trade_import_3,,,,,,,,,,,,,,,1,0,0,0,0,0,1,2,2,3,2.84,2.28,3.47,10.43,6.43,17.11,48.36,3.96,4.06
MDV,trade_import_4,0,32,0,35,10,10,11,29,19,12,7,3,9,10,18,6,8,13,17,2,19,16,17,41,58.72,49.47,63.77,111.71,186.95,86.69,68.45,217.32,253.18
MDV,trade_import_5,0,0,0,188,109,100,82,129,140,253,260,280,306,455,480,325,492,522,364,600,853,1404,1016,1011,1332.96,1466.86,1797.07,2163.21,2020.66,3409.31,4142.51,2800.84,2725.16
MDV,trade_import_6,200,250,250,827,1058,1588,550,1805,750,1050,1200,2403,2651,3224,3625,3866,3622,5203,4073,4565,6175,6847,6677,9894,8946.1,10113.56,11890.8,11248.29,12486.38,12670.85,10245.1,14016.55,17050.84
MDV,trade_import_7,0,0,0,0,15,1,3,11,9,12,3,7,12,1,1,1,1,1,3,2,0,2,3,4,1.07,15.61,1.64,1.23,0.3,2.06,0.29,0.35,1.35
MDV,trade_import_8,30,90,80,104,105,92,96,3,2,1,1,2,2,2,182,123,174,198,207,200,244,265,219,264,285.08,273.63,228.88,266.43,327.83,430.62,13.32,301.82,342.81
MEX,production_Agr_1,14635439,14251500,16929344,18125264,18235826,18352856,18023626,17656258,18454710,17706376,17556900,20134300,19297800,20701400,21670200,19338700,21893209,23512752,24320100,20142816,23301879,17635417,22069254,22663953,23273256.54,24694046.25,28250160,27763203.33,27169400,27228242.42,27424527.55,27503477.82,26625693.83
MEX,production_Agr_10,124391,130657,147878,151144,141330,139049,122925,120528,127744,130998,131177,139873,146468,151842,160960,164247,163958,172445.69,170151.88,169698.68,166649.88,166563.36,160305.08,156901.96,160161.91,163658.76,165023.51,167192.69,168559.5,166758.03,168497.7,171512.51,173673
MEX,production_Agr_2,394388,347245,394022,287180,373616,367030,394075,469455,458112,394434,351447,226639,227194,273300,278500,291149,337250,294697,224371,263028,216676,173461,178787,179776,232158.62,236017.92,254043.31,265567.3,283763.37,245217.41,295337.84,257041.44,246988.64
MEX,production_Agr_3,575366,724969,593540,497566,522583,189774,56074,184526,150296,132824,102314,121671,86546,126006,133347,187235,81113,88371,153022,120900,167665,205234,247500,239248,387366.38,341088.19,509113.66,432927.48,324010.5,232679.91,246018.87,288202.57,241370.86
MEX,production_Agr_4,3930934,4060738,3620503,3582450,4150920,3468220,3375008,3656594,3235080,3020889,3493210,3275460,3236183,2715800,2321200,3015177,3378116,3515392,4019400,4116161,3676707,3627511,3274337,3357307,3669813.71,3710706.27,3862914.27,3503521,2943445.12,3244062.03,2986689.24,3283613.73,3578244.4
MEX,production_Agr_5,1113919,1188687,1247195,1256478,1364711,1412336,1329947,1340071,1379768,1399629,1408618,1444621,1467574,1503760,1543730,1557707,1612992,1635040,1667136.26,1704985,1744738,1803932,1820547,1806758,1827152,1845236,1878705.5,1926901,1980846.34,2027634.25,2081261.6,2130591.83,2175576.61
MEX,production_Agr_6,757351,811899,819782,821580,872907,921576,910290,939245,960689,994186,1029955,1057843,1070246,1035308,1064382,1102940,1108942,1152003,1160677,1162398,1174582,1201998,1238625,1283672,1290591,1322529,1376198.6,1441851,1502521.44,1600445.52,1652362.26,1693007.45,1730051.37
MEX,production_Agr_7,750427,857947,898495,1040029,1126008,1283867,1264366,1441905,1598921,1731538,1825249,1928022,2075758,2155581,2279774,2436534,2463797,2542493,2580779,2636485,2681117,2765020,2791639,2808032,2879686,2962337,3077873.74,3211687,3338371.88,3476622.18,3578694.12,3668551.32,3781735.28
MEX,production_Agr_8,36102,39314,42893,41494,38699,37678,35879,35269,38264,37431,38760,38839,42234,42195,42029,42389,42728,42873,43128,43242,43867,43839,41492,39656,39758,39390,39530.52,39777,39851.13,39937.12,40000.62,40478.91,40825.57
MEX,production_Agr_9,6141545,6717115,6966210,7404078,7320213,7398598,7586422,7848105,8315711,8877314,9311444,9472290,9658282,9784355,9864300,9868301,10088551,10656361.46,10907165.43,10865509.14,10996991.73,11046016.64,11207296.1,11294600.96,11463510.66,11736502.89,11956652,12120582.68,12365862.76,12644140.95,12940611,13237208.77,13497999
MEX,trade_export_1,0,25,1,0,2,0,0,116,36,0,0.25,100,0,0,0,0,0,0,0,0,92,34,0,0,0,18,0.08,0.02,,,,,
MEX,trade_export_2,2297,11,0,0,88173,431775,102022,401513,116826,333933,548075.2,513001,439623,565078,342969,394578,536372,569194,1397633,1136317,436995,835908,612499,732745,1263699.37,909195.17,1517088.01,490030.92,838955.88,736301.03,255638,318194.59,84684.29
MEX,trade_export_3,74,0,208,46,130,8,75,1633,2069,807,1728.13,157,328,2059,2366,970,191,343,153,137,96,85,74,265,353.15,226.84,80.34,527.59,110.56,1254.2,602.43,488.2,1118.54
MEX,trade_export_4,760,16185,18506,47943,36357,82628,78214,131938,231204,17749,5989,11233,164430,14413,7057,53040,183787,264224,58673,289296,558617,101019,772906,582661,405772.01,745709.87,1672617.82,1658799.86,852397.89,741674.28,307488.4,97218.24,77399.5
MEX,trade_export_5,26,17,0,112,44,422,504,434,458,409,120.22,89,78,15,26,7,18,12,247,1469,4642,5720,7426,6938,3885.53,3722.08,3953.16,1859.85,2355.03,4346.66,5361.27,9367.8,8208.13
MEX,trade_export_6,5857,5163,4249,2325,2458,4587,5412,2781,3631,3747,1478.54,1407,289,1275,2671,1779,47,344,1674,5647,10626,13469,4317,3888,7405.16,2249.35,1998.1,3726.07,8148.32,,,911.35,251.23
MEX,trade_export_7,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,5,18,7,13,49,61,59,49,48,66.03,94.64,63.88,77.11,324.05,,,,120.76
MEX,trade_export_8,494,1124,3441,3811,102,30,91,234,1878,2658,1707.09,657,1385,1327,791,1084,1277,1906,1773,555,868,625,461,120,154.39,178.88,521.86,887.83,2117.58,1936.84,9047.65,10050.66,1316.04
MEX,trade_import_1,18114,48738,76180,209217,185206,264941,408731,406060,380363,513577,556011.5,616627,637450,708692,616268,667690,751804,755957,716491,739209,772327,799573,698241,738212,597379.51,646922.91,736445.64,895928,784719.56,720321,788622.88,752592.3,431426.7
MEX,trade_import_2,338771,540921,1076514,1741488,1413743,1222653,1979700,1801018,2473837,2658710,2794421,3385801,3139786,3499911,3585471,3717624,3446635,3253305,3217034,2776926,3495480,4047832,4641718,4166753,4503451.65,4182850.75,4683804.74,4900848.18,4920401.06,4804872.13,3698768.64,4434801.67,3938944.25
MEX,trade_import_3,897021,1489310,2101091,2171378,2496565,2232453,3048040,3410864,3489399,4067280,3984886,4479680,4382508,4175876,3539023,3714009,3765610,3610902,3507196,3425920,3772163,3340376,3477274,3612685,3891859.48,3890228.62,4038864.15,4341345.76,5175784.22,5438121.1,4022061.3,4690945.99,3934711.97
MEX,trade_import_4,4104418,1421705,1305670,210644,2746639,2686921,5842750,2518862,5211863,5545811,5347619,6174028,5512911,5764149,5518690,5743678,7609940,7954729,9145987,7260619,7848998,9476171,9515074,7153033,10407011.06,12145300.55,14105991.4,15338715.43,17095165.28,16519144.4,15880119.86,17566569.13,16255847.27
MEX,trade_import_5,21230,38199,52300,61677,84625,36873,43336,43317,20683,11786,33923.56,28852,51998,54832,66586,74902,27681,72287,46305,25209,24919,26777,28464,39159,31949.95,34382.83,36116.48,30947.31,37174.39,210377.51,15200.38,15138.23,13360.37
MEX,trade_import_6,40415,61239,85787,113269,124143,118733,115290,157149,174688,182798,212145.9,227913,247232,323238,310898,357251,410355,370181,419871,480535,535732,564314,603525,667549,706483.44,777034.72,780608.4,788451.84,803931.87,972877.06,881445.43,1029674.12,1047430.73
MEX,trade_import_7,311,99,140,242,173,5,14,60,351,360,267.14,50,32,1,10,29,28,0,0,31,0,0,0,0,,,,,,,,,
MEX,trade_import_8,29873,48122,57843,49781,47848,11247,16089,29753,66410,90894,139006.1,144140,171700,194523,248116,228960,238812,233562,274862,367685,372086,326557,385266,427804,455292.97,550768.64,583259.27,653976.85,713278.59,703720.38,377315.84,772599.89,1008025.31
MKD,production_Agr_1,,,130259,101063,133211,165652,142421,157234,140949,160550,125383,117300,140151,141436,146105,148234,147494,118378,127125,157547,132006,129322,118821,135269,140221,136991,147029,123014,190722,148058,149685,134036,146980
MKD,production_Agr_10,,,0,0,0,0,0,0,0,0,0,0,0,0,14000,21858.27,15000,29900,32502.68,19967.58,15526,16032,15293,14827,13995,16035,19917,19742,23531,17371,16034,17034,14113.06
MKD,production_Agr_2,,,42698,9433,8713,6447,22274,24600,22663,17430,18433,7900,8860,13042,14676,12570,13949,15355,16140,19870,25700,26964,24361,27921,30500,30527,24792,17080,19732,21278,19518,18962,18981
MKD,production_Agr_3,,,0,0,0,0,0,0,0,0,0,100,0,0,400,400,900,400,200,192,699,840,717,237,149,25,1,34,63.55,65.49,50,50,72.61
MKD,production_Agr_4,,,299522,249789,336133,381226,269303,293762,336562,319419,299356,246000,267170,225490,356825,333888,293326,218100,291719,271117,243137,256103,214963,258960,287954,201218,306433,200112,241106,239916,246031,243676,224632
MKD,production_Agr_5,,,7549,8416,7545,6900,6704,7287,5835,6738,6300,6900,6738,8691,8824,7604,7132,7121,7018,7307,7100,5301,4981,5485,5522,4875,3962,4636,4381,4083,3886,4214,4415
MKD,production_Agr_6,,,10443,9634,9664,9335,9400,8709,8832,9189,9300,8400,10626,9609,9373,8897,8633,8856,8703,8291,8000,8340,10598,8845,9886,10826,12786,13105,12929,13384,14930,15578,13493
MKD,production_Agr_7,,,5500,5515,5671,5200,5000,5187,5509,4800,4840,4702,3992,4116,3189,3809,3715,3524,3012,3319,3236,1621,1945,1801,2011,1729,1509,1716,1499,1490,1494,1695,1942
MKD,production_Agr_9,,,121083,122068,119381,132819,137785,137100,178900,208660,226851.32,206931.12,204383.93,197278.99,219284.94,203387.92,241749.24,385290,380293.51,353300,368637,387579,360262,392157,398618,371904,415135,405964,416357,402630,417374,336319,334018.7
MKD,trade_export_1,,,58,457,71,114,9,0,0,3,8,0,0,36,104,572,0,,5,4,24,45,147,197,11.18,0.88,29.95,121.7,425.39,191.82,68.41,44.99,55.55
MKD,trade_export_2,,,24,0,0,22196,16420,24,0,2611,388,160,310,623,42,112,61,24,55,2,197,93,63,53,3449.86,6526.99,4981.86,16958.59,15826.57,4011.14,4806.75,21368.61,2566.22
MKD,trade_export_3,,,,,33,21,0,0,0,1,20,3,62,6,10,14,22,0,12,0,0,0,0,0,0.03,26.34,0.33,,,10.02,0.05,0.06,0.04
MKD,trade_export_4,,,20000,5243,43,0,149,0,0,18,196,0,55,33,9,127,139,100,194,248,160,216,139,158,510.67,1698.9,1710.17,2762.33,15734.08,24419.56,17243.2,16498.99,15876.92
MKD,trade_export_5,,,,,,,,28,0,1611,2657,1019,1944,3657,2505,7929,2757,275,3141,726,1167,1002,1798,2712,3670.91,3575.07,4785.21,3332.99,1622.61,1619.25,1216,268.91,263.63
MKD,trade_export_6,,,236,136,262,484,20,0,0,53,93,120,30,31,210,134,53,127,57,49,10,79,384,273,340.85,318.65,252.26,435.6,447.38,489.19,557.77,569.62,656.83
MKD,trade_export_7,,,,,,,,,,,,,,,5,3,3,2,0,1,0,0,0,0,0.05,,,,4.34,,0.22,11.16,2.07
MKD,trade_export_8,,,19,0,0,0,0,0,0,0,0,0,0,6,22,1,0,5,760,336,0,15,85,13,,0.59,0.1,,,,,,
MKD,trade_import_1,,,,,,,,,,,20,0,10,0,1,6,4,12,0,3,16,26,15,15,65.61,19.8,46.7,306.96,12.4,202.73,15,41.35,16
MKD,trade_import_2,,,36393,38439,121836,86450,56981,174000,47500,34197,105040,33693,141992,94272,104076,90095,25973,60328,55192,51249,55765,78326,121261,66187,88348.93,97538.22,75537.42,87047.5,86503.79,104404.65,96767.72,74937.44,91355.51
MKD,trade_import_3,,,2610,998,326,20,542,84,40,41,36,12,3368,122,206,533,315,395,302,331,601,329,75,770,897.19,951.99,939.71,36.97,52.03,1409.75,886.75,33.78,4.33
MKD,trade_import_4,,,16598,30545,83531,35554,22458,85200,52600,68638,44265,73082,72198,46133,61813,65818,57775,63469,65460,50776,47962,62989,63231,49358,47851.72,56880.36,52729.12,59954.93,51641.51,41171.24,60801.92,55254.04,40095.42
MKD,trade_import_5,,,1883,5966,12673,13447,10969,6700,7300,6791,8093,3104,3354,4546,5779,9175,12046,9397,9927,15711,16156,17460,19657,14877,15584.22,19260.92,18968.38,18043.41,27374.62,39805.53,34983.86,29925.17,23424.53
MKD,trade_import_6,,,5887,9952,17658,15166,15884,9900,13000,19552,18734,18964,18152,20740,25739,21487,19689,30837,25410,28783,30340,30364,33754,34024,32710.91,34789.46,33322.47,36647.87,37153.93,37438.64,37223.17,33987,32680.04
MKD,trade_import_8,,,1451,4033,5170,3665,2407,650,2700,0,0,0,2481,2646,1978,1360,2050,6517,1911,2948,2196,2109,2181,2292,1733.66,1805.34,2565.58,2613.06,2968.56,2620.82,2499.37,2030.26,1768.65
MLI,production_Agr_1,196579,256775,192530,283373,322493,266136,294183,343357,392972,619896,214548,301931,365174,454758,459463,634464,706737,689918,695073,1476993,1356043,1298234,1418907,1635564,1744026,2276036,2811385,3598205,3624949.97,3816536,3516865,3603000,3904687
MLI,production_Agr_10,127806,137853.45,137492.83,137475.48,137809.36,138505.87,139580.28,141051.93,153871.23,167857.1,181359,192395.57,210000,250000,320000,400000,472070,567035,595386,656414,344617,361848,216927,119681,126031,132460,139084,150907,231497,243072,255226,267987,255428.33
MLI,production_Agr_2,282366,454349,410018,427609,469127,476090,627405,575745,717856,727140,742808,940938,693203,938217,718086,945823,1053236,1082384,1624246,1614408,1296154,1741472,2076423,1977669,2166830,2331053,2780905,2707557,3167527.62,3196336,3010027,2420245,2864723
MLI,production_Agr_3,1500,1395.23,1448.82,1700,1613.25,1800,1759.63,1834.58,2000,2003.55,2074.92,2100,2257.85,2372.59,2500,2124,2004,5188,1937,1874,1871,3048.56,3387.18,2580,2175,5261,11769,5801,6693,10440,14685,15904,20070
MLI,production_Agr_4,2066,2540,1256,2210,2650,6150,3159,2720,6680,7585,6208,9353,6545,5701,8942,4805,8565,8585,13166,15132,10051,33842,40071,27430,45668,35756,40137,28015,29185,8226,37124,21000,33542
MLI,production_Agr_5,71500,66888.66,69759.77,71064.64,71123.6,70210.5,68557.38,66359.16,63778.35,60949.53,56433.29,52962.3,54176.74,51028.63,47974.11,45103.36,41718.18,40270.67,31400,30654,35902,36001,37532,34691,37577,43123,44409.27,51571.74,51259.61,54553.54,71252.13,55737.68,60424.15
MLI,production_Agr_6,1792,340,286.76,278.75,272.8,260.91,258.29,257.68,259.3,263.57,282.41,282.81,309.84,312.49,310.6,324.24,296.65,296.23,288.14,275.34,269.09,175,119,101,119,242,578.91,617.42,754.03,1008.57,560,683.13,757.37
MLI,production_Agr_7,23680,24000,24400,24560,24000,25600,25680,26000,28800,29200,29200,27200,32480,33600,34800,34400,34400,33988,39440,40600,41600,41200,42000,44136,37789.11,43074.84,60000,48000,44481.15,54602.9,57050.76,59779.99,61311.04
MLI,production_Agr_8,23321.2,2884,2892.62,2866.06,2843.35,2817.82,2803.8,2799.21,3122.87,3489.31,3888.79,3690.02,3666.91,3836.03,4268.92,4458.09,4422.72,4871.54,4518,5877,7042,7740,6433,6392,6123,6655,8161.6,8772.89,8209.68,9460.86,13115.6,11935.28,11523.08
MLI,production_Agr_9,171362.8,151199.92,152176.68,153458.4,155074.18,157028.95,159350.04,162058.79,165185.01,168763.22,172812.7,177395.04,199310.02,241749.95,276246.92,310091.85,439309,529809,545703,578936,298152,307097,406719,259897,284581,293399,302204,315310,268576,276634,284933,293481,285016
MLI,trade_export_1,0,0,0,0,0,0,0,0,0,0,0,0,2545,0,0,0,0,0,0,0,0,0,57,132,,12.85,,66,84.7,7.1,,24.88,
MLI,trade_export_2,0,0,0,0,0,0,0,0,0,0,0,0,400,50,50,50,46,0,3002,0,0,0,81,81,3,501.94,,,120,,0,,
MLI,trade_export_3,,,,,,,,,,,,,,14,14,14,0,0,0,0,0,0,0,7,20.5,,58.57,,,,248,,12
MLI,trade_export_4,0,0,0,0,0,0,1467,0,0,0,0,0,415,0,10928,7463,5738,428,916,135,1233,2667,13,1447,250,250,462,76,320,103.51,9569.7,11070.89,3924.03
MLI,trade_export_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,,,,,3010.99,,,
MLI,trade_export_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,84,84,0,0,0.05,,,,,11.4,5.8,5,
MLI,trade_export_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,,,,,,,,,
MLI,trade_import_1,,,,,,,35,,19.87,,289.7,107,148,40,160,569,16584,105,744,2,250,300,4,1,0.51,0.08,1486.52,150.63,244.71,140.13,1.48,19.46,7.61
MLI,trade_import_2,36000,28000,32000,26000,17000,34000,13132,15289.2,27879,25341.7,26875.7,65357,29809,39564,21086,84287,114121,61253,41883,89100,109694,103971,150819,227447,176595.9,279139.7,269656.17,310733.8,305352.32,315686.57,357121.01,278846.87,271879.5
MLI,trade_import_3,,,,,,,0,,,30,30,3,3,3,3,0,0,1,41,41,41,41,1,243,93.99,301.97,0.98,5036.43,0.37,260,0.01,7.96,95.15
MLI,trade_import_4,1000,5300,2000,1000,1000,1000,660,5,509.44,2975.67,76.9,7603,8679,3011,3549,14633,2127,5240,7594,630,478,4042,8072,2061,968.41,576,286.36,329.22,541.86,509.98,1767.67,2593.1,13819.77
MLI,trade_import_5,400,150,95,150,230,200,149,76.3,131.3,146.92,152.92,154,193,283,235,268,494,393,582,828,930,969,760,708,1152.31,1823.64,4100.21,3832.84,2126.88,2206.58,2611.16,3312.12,3753.69
MLI,trade_import_6,0,0,0,0,0,0,1,3.21,0,0,7.48,13,1,40,43,14,25,96,130,130,27,27,5,329,535.67,415.64,274.41,497.21,257.07,1073.94,176.36,321.78,375.26
MLI,trade_import_7,,,,,,,,,,,,,,,,,,,,,,,,,52.42,73.3,74.61,50.46,46.48,117.98,60.75,,71.29
MLI,trade_import_8,0,140,0,0,0,0,1,0,0.97,2.85,0,1,1,3,24,0,0,2,3,2,3,3,1,1,23.8,9.71,0.17,40.22,18.44,40.03,30.72,47.35,58.43
MLT,production_Agr_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
MLT,production_Agr_10,1554,1480.57,1600,1700,1800,1800,3250,2500,900,1435.51,1600,1514,1583,1754,850,1235,1333,1338,1357,1296,1106,1009,986,973,937,984,995,1021,930,930,920,920,1030
MLT,production_Agr_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
MLT,production_Agr_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
MLT,production_Agr_4,4900,5100,5500,5800,6000,6300,4200,9036,9000,8889.97,9556,9600,10000,9600,9951.94,10233.29,10500,12000,14500,13800,13038.07,12468.12,12172.61,11864.98,11543.04,10000,10595.53,12412.68,0,0,0,0,0
MLT,production_Agr_5,1697,1650,1640,1640,1650,1736,1750,1686,1584,1588,1608,1536,1636,1408,1290,1390,1398,1386,1479,1543,1422,1128,1111,1134,1129,1032,1151,1117,1070,1030,1140,1050,1040
MLT,production_Agr_6,7814,8300,8400,8508,9300,8500,8600,10191,10397,10258,9069,9930,10405,9779,8469,8889,8217,8018,8503,7369,7511,7305,5665,5920,6153,5428,4931,4707,4430,4410,4560,4720,4430
MLT,production_Agr_7,4300,4320,4440,4452,4700,5000,6500,5000,4988,5250,6000,6256,6661,7405,6294,4518,3935,4587,4979,4686,4398,4155,4244,4115,3916,3913,3832,3676,3820,3990,4150,4070,4250
MLT,production_Agr_8,12,14,16,15,14,16,10,10,10,10,40,33,35,38,33,33,34,33,35,33,33,32,34,32,31.18,33.81,34.3,35.49,20,20,20,20,20
MLT,production_Agr_9,24482,34963.57,51421.95,50275.37,46321.79,33060.55,41000,47001,47968,48679,47969,46888,44220,41306,41122,41474,41250,40593,40029,39455,42127,41693,43360,40986,42833,41638,43213,41091,40410,41270,42110,39540,38970
MLT,trade_export_1,,,,,,,,,9,5,6,14,18,1,4,0,3,0,0,0,0,0,0,10,29,19,,,,,0.22,0.94,
MLT,trade_export_2,,,,,,,,,5,0,0,0,18,2150,0,0,0,0,14676,0,0,0,41662,0,2207,,15522.07,8255.82,,,,,
MLT,trade_export_3,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
MLT,trade_export_4,183,296,239,239,0,0,0,0,1,0,0,1,0,2187,0,0,0,10644,25889,0,0,0,0,0,,,,,,,,,
MLT,trade_export_5,2,0,0,0,0,0,0,0,5,1,1,0,4,1,0,0,2,0,23,0,3,33,20,1,,,,2550.82,2.93,1.21,,,748
MLT,trade_export_6,0,0,0,0,0,0,0,0,81,40,1,8,1,0,0,1,1,5,8,0,0,41,104,0,0.1,0.08,0.34,5.09,9.81,1.63,0.06,0.45,2.58
MLT,trade_export_7,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,,,,,,,,,
MLT,trade_export_8,4,9,3,0,,,,,2,0,0,6,8,0,0,4,3,0,0,0,0,0,0,2,2.3,0.1,,,0,0,,,0.1
MLT,trade_import_1,,,,50,210,413,499,311,131,134,150,481,374,125,206,171,53,48,41,7,65,8,22,2,5.82,4.2,2.91,0.51,9.1,0.83,20.04,2.39,4.6
MLT,trade_import_2,40599,37910,59980,45112,45399,54315,47153,48611,40303,52060,58001,38833,55925,43493,14322,20946,11636,41243,30142,24773,8055,27337,60399,52945,20502.4,51398.1,17418.91,36818.66,24382.73,20430.79,21418.45,18579.82,36521.22
MLT,trade_import_3,2,2,0,0,13,0,1,0,40,240,78,216,1150,6,223,12,22,77,2,16,58,36,1032,49,31.14,157.03,22.22,19.59,42.06,47.61,9.18,9.58,8.81
MLT,trade_import_4,64605,51789,60519,53950,29530,36588,41255,62901,63800,62497,73058,69620,56031,64564,56613,61621,45708,74604,94767,55410,47812,41210,43829,52745,37599,51773.97,52475.64,44240.06,47465.73,45570.37,49005.3,48259.85,46953.77
MLT,trade_import_5,81,141,184,359,600,32,23,17,26,31,21,31,16,19,946,738,734,889,1382,2336,2491,3929,3828,3891,3547.1,3777.7,3338.41,11032.9,11347.23,4123.78,3041.55,2977.13,3275.52
MLT,trade_import_6,0,0,0,38,3,69,85,164,99,96,64,121,135,367,2852,3766,4211,4209,3890,4657,4582,4876,4211,5058,5051.35,5448.97,5201.67,5245.84,5515.8,5649.08,5398.35,4869.85,4956.64
MLT,trade_import_7,15,0,0,0,161,173,130,237,266,292,307,370,275,334,161,69,40,12,11,0,0,3,9,22,118.82,48.9,28.5,75.08,4.81,12.34,1.43,1.33,4.06
MLT,trade_import_8,901,1169,1205,697,47,1098,370,0,3,51,264,553,29,201,238,174,311,271,169,170,131,184,1017,463,217.6,125.98,159.44,232.92,474.97,931.67,950.11,954.8,1049.26
MMR,production_Agr_1,187024,188100,205000,201400,279900,270400,281400,303400,297900,343600,358900,524000,593400,692900,771100,903500,1015800,1128100,1184700,1225700,1354400,1461500,1501600,1600600,1693400,1748500,1830631,1909294.67,1984136.46,1985765,2072482,2274200,2100000
MMR,production_Agr_10,5180,5972.34,6226.26,6289.64,6368.24,6569.19,6768.64,6666,6832,7077,7281,7526,8059,7948.06,8226.31,8702.14,9231.21,10247.63,10931.89,11689.77,12201.25,13048.51,14222.13,15063.03,16150.67,17275.58,18718.87,20090.92,8960.46,9178.59,9390.67,9584.14,9532.48
MMR,production_Agr_2,13971800,13202000,14835000,16757000,18192000,17950000,17673000,16651000,17075000,20122000,21320000,21912000,21805449,23135461,24750973,27683296,30923479,31450808,32572528,32681246,32580000,29010000,26637800,26795300,26848100,26630700,26085100,26035800,28016100,26691400,26399600,27438300,24680200
MMR,production_Agr_3,25515,26500,29800,33600,48900,64700,61500,73400,83900,97400,108500,118700,122000,146500,157800,185900,200800,213600,240000,253700,254500,161900,162600,160600,156500,154300,149185,145465,143717.32,141939,135132,133664,131223.39
MMR,production_Agr_4,124167,141100,136400,106900,87700,76700,85400,90700,92000,115300,92100,94400,105700,122400,150000,156200,140200,155300,170400,179200,181000,169800,177600,182900,182400,179300,102636,123251.86,115995.52,110663,105457,99607,100000
MMR,production_Agr_5,47000,46533,47154,47735,47954,49156.22,50413.05,51401.48,53013.5,60223.4,70843.78,74556.41,79762.13,95816.46,113500.48,127857.6,145030.54,157839.92,175131.79,206263.26,230632,249958,273478,298632,325114,357261,402106,396040,104040,106562,108748,110000,110000
MMR,production_Agr_6,55000,41181,43947,46623,56925,64091.93,71358.08,74561.23,81229.51,100212.15,118156.54,135266.8,164300.87,220102.86,260435.55,326507.55,367849.57,408770.49,463153.33,526321.12,576103,609331,661882,730540,821122,863235,874024,906953.25,257001,270742,285124,285000,285000
MMR,production_Agr_7,67550,68632,73242,78647,82629,98471.55,115090,134882.67,144802.31,177344.91,213450.66,254067.82,296038.25,383188.69,451671.49,555658.95,642632.59,719051.75,785265.19,908593.7,999859,1038817,1142547,1250913,1389521,1505000,1520683,1580848,485281,553302,623081,620000,620000
MMR,production_Agr_8,5271,6500,6893,7184,7171,7504.02,7799.74,8190.29,10233.04,10027.32,11441.66,12007.39,12801.35,14856.96,19066.22,21420.77,24169.08,26738.99,29424.62,36555.77,41281,46766,52199,58472,66445,77000,79418,81410,9200,9500,9900,10000,10000
MMR,production_Agr_9,423736,417882,423727,427465,432983,439898.86,451423.8,464237.02,465133.87,533622.19,616434.01,636304.86,674745.42,666341.06,718381.26,796426.68,866741.96,962218.81,1055334.89,1176927.36,1274757,1333770,1619492.99,1756565.45,1950982.9,2154406,2238170,2319280,800000,800000,800000,800000,800000
MMR,trade_export_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,360,240,300,2888,526,2440,12437,7436,6320,6.04,,422.25,2435.95,22197.84,617.5,237.5,8355.73,12615.97
MMR,trade_export_2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,2986,0,0,0,7952.37,200.86,,66.72,178.55,546.71,3,,
MMR,trade_export_3,800,1329,3700,560,2350,400,400,440,3500,5500,4300,3100,2031,3019,3859,2500,3200,4200,5300,5000,5000,5000,244,5000,5497.19,8302.93,2768.2,3469.27,1192.3,4657.38,15873.35,2909.47,230.1
MMR,trade_export_4,20000,41128,44400,40400,70400,62000,102500,50000,174300,88800,147900,90000,219000,70546,254800,151352,101251,156000,120200,10400,44800,123700,31743,70000,1621567.59,1968272.6,284054.84,450542.17,127202.87,930840.34,1191119.02,1268411.73,1550004.29
MMR,trade_export_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,,112.14,19.55,,
MMR,trade_export_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,28,,,
MMR,trade_export_7,,,,,,,,,,,,,,,,,,,,,,,,,9.98,,,,,249.8,236,16,
MMR,trade_export_8,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1.4,,,
MMR,trade_import_1,0,0,0,0,0,0,10,50,80,250,220,,,,,,,,,,,,,,105.51,366.74,20.15,612.26,41.64,,5.48,350.4,
MMR,trade_import_2,0,0,0,0,0,0,0,4857,10000,3500,10500,65038,31678,43804,77196,134611,85481,90270,44000,128000,207488,190000,236833,185000,315646,332943,439079,495728,355841.46,436662.16,478645.94,451984.35,226690.48
MMR,trade_import_3,,,,,,,,,,,,,,,,,,,,,,,,,280.97,897.43,388.56,14440.01,10063.97,15520.2,21602.45,16419.75,12469
