Area,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
IND,water_withdrawal,92,91.94,91.88,91.82,91.77,91.71,91.66,91.62,91.57,91.52,91.48,91.35,91.23,91.11,90.99,90.89,90.78,90.68,90.59,90.5,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41
IRL,water_withdrawal,14.4,14.61,14.82,15.02,15.22,15.08,14.93,14.77,14.61,14.43,14.25,14.05,13.84,12.79,11.81,14.11,11.43,13.79,10.92,11.71,8.96,8.14,7.36,6.38,5.5,4.92,4.2,3.07,2.25,2.3,2.46
IRN,water_withdrawal,,,,91.61,91.58,91.57,92.03,92.49,92.93,93.36,93.79,93.37,92.96,92.56,92.18,92.18,92.18,92.18,92.18,92.18,92.18,92.18,92.18,92.18,92.18,92.18,92.18,92.18,92.18,92.18,92.18
IRQ,water_withdrawal,92.01,90.08,88.33,86.75,85.31,83.99,82.78,81.66,80.63,79.68,78.79,79.35,79.95,80.59,81.27,81.99,82.76,83.58,84.47,85.42,86.45,87.55,88.76,90.07,91.5,91.49,91.49,87.81,91.48,78.12,72.57
ISL,water_withdrawal,3.57,22.74,41.92,42.04,42.17,42.3,42.42,42.55,42.68,42.81,42.94,42.68,42.42,42.42,42.42,32.11,23.55,16.32,10.13,4.79,0.11,0.1,0.1,0.07,0.07,0.11,0.12,0.11,0.11,0.11,0.11
ISR,water_withdrawal,67.41,67.41,67.41,67.41,67.41,67.41,65.67,63.98,62.33,60.72,59.15,57.5,55.76,56.18,57.78,57.31,56.84,56.35,55.85,55.34,57.32,56.31,55.33,54.4,53.5,52.64,55.61,43.35,51.65,51.38,49.79
ITA,water_withdrawal,53.91,52.86,51.83,50.83,49.85,48.89,47.96,47.04,46.15,44.6,44.09,43.49,42.83,42.12,41.34,40.5,39.48,38.36,25.26,42.21,44.09,45.95,47.81,49.71,49.72,49.73,49.85,49.98,50.1,50.13,50.16
JAM,water_withdrawal,,,,75,73.62,72.23,70.81,69.37,67.91,66.43,64.93,63.4,61.85,60.27,58.67,57.05,50.12,44.31,39.11,34.61,30.67,27.18,24.08,21.31,18.81,16.36,8.42,9.91,12.05,15.4,21.37
JOR,water_withdrawal,74.94,74.92,74.9,73.98,73.02,72.01,70.96,69.86,68.7,67.49,66.22,63.58,64.38,62.94,62.91,64.96,64.12,63.2,61.85,57.94,56.1,56.93,54.42,53.39,53.47,51.03,53.13,52.37,52.25,51.65,51.65
JPN,water_withdrawal,64.43,64.27,64.11,64.68,65.26,65.85,65.5,65.15,64.53,63.91,63.29,64.7,66.21,66.1,65.99,65.87,65.75,65.68,66.25,66.83,66.92,67.02,67.11,67.21,67.31,67.4,67.5,67.72,67.64,67.98,67.94
